ip , th , ch, num1, 1, 0, 6.49552e-310
1, 1, 1, 1e-10
1, 1, 2, 1e-10
1, 1, 3, 1e-10
1, 1, 4, 1e-10
1, 1, 5, 1e-10
1, 1, 6, 1e-10
1, 1, 7, 1e-10
1, 1, 8, 1e-10
1, 1, 9, 1e-10
1, 1, 10, 1e-10
1, 1, 11, 1e-10
1, 1, 12, 1e-10
1, 1, 13, 1e-10
1, 1, 14, 1e-10
1, 1, 15, 1e-10
1, 1, 16, 1e-10
1, 1, 17, 1e-10
1, 1, 18, 1e-10
1, 1, 19, 1e-10
1, 1, 20, 1e-10
1, 1, 21, 1e-10
1, 1, 22, 1e-10
1, 1, 23, 1e-10
1, 1, 24, 1e-10
1, 1, 25, 1e-10
1, 1, 26, 1e-10
1, 1, 27, 1e-10
1, 1, 28, 1e-10
1, 1, 29, 1e-10
1, 1, 30, 1e-10
1, 1, 31, 1e-10
2, 1, 0, 1e-10
2, 1, 1, 1e-10
2, 1, 2, 1e-10
2, 1, 3, 1e-10
2, 1, 4, 1e-10
2, 1, 5, 1e-10
2, 1, 6, 1e-10
2, 1, 7, 1e-10
2, 1, 8, 1e-10
2, 1, 9, 1e-10
2, 1, 10, 1e-10
2, 1, 11, 1e-10
2, 1, 12, 1e-10
2, 1, 13, 1e-10
2, 1, 14, 1e-10
2, 1, 15, 1e-10
2, 1, 16, 1e-10
2, 1, 17, 1e-10
2, 1, 18, 1e-10
2, 1, 19, 1e-10
2, 1, 20, 1e-10
2, 1, 21, 1e-10
2, 1, 22, 1e-10
2, 1, 23, 1e-10
2, 1, 24, 1e-10
2, 1, 25, 1e-10
2, 1, 26, 1e-10
2, 1, 27, 1e-10
2, 1, 28, 1e-10
2, 1, 29, 1e-10
2, 1, 30, 1e-10
2, 1, 31, 1e-10
1, 2, 0, 1e-10
1, 2, 1, 1e-10
1, 2, 2, 1e-10
1, 2, 3, 1e-10
1, 2, 4, 1e-10
1, 2, 5, 1e-10
1, 2, 6, 1e-10
1, 2, 7, 1e-10
1, 2, 8, 1e-10
1, 2, 9, 1e-10
1, 2, 10, 1e-10
1, 2, 11, 1e-10
1, 2, 12, 1e-10
1, 2, 13, 1e-10
1, 2, 14, 1e-10
1, 2, 15, 1e-10
1, 2, 16, 1e-10
1, 2, 17, 1e-10
1, 2, 18, 1e-10
1, 2, 19, 1e-10
1, 2, 20, 1e-10
1, 2, 21, 1e-10
1, 2, 22, 1e-10
1, 2, 23, 1e-10
1, 2, 24, 1e-10
1, 2, 25, 1e-10
1, 2, 26, 1e-10
1, 2, 27, 1e-10
1, 2, 28, 1e-10
1, 2, 29, 1e-10
1, 2, 30, 1e-10
1, 2, 31, 1e-10
2, 2, 0, 1e-10
2, 2, 1, 1e-10
2, 2, 2, 1e-10
2, 2, 3, 1e-10
2, 2, 4, 1e-10
